Time Unit,Count,Category
0.0,1250,Hourly
1.0,739,Hourly
2.0,724,Hourly
3.0,626,Hourly
4.0,530,Hourly
5.0,407,Hourly
6.0,448,Hourly
7.0,467,Hourly
8.0,679,Hourly
9.0,796,Hourly
10.0,828,Hourly
11.0,898,Hourly
12.0,1401,Hourly
13.0,973,Hourly
14.0,1087,Hourly
15.0,1161,Hourly
16.0,1114,Hourly
17.0,1178,Hourly
18.0,1201,Hourly
19.0,1030,Hourly
20.0,992,Hourly
21.0,1029,Hourly
22.0,1149,Hourly
23.0,1016,Hourly
Tuesday,3212,Weekly
Monday,3210,Weekly
Saturday,3109,Weekly
Sunday,3091,Weekly
Thursday,3072,Weekly
Friday,3064,Weekly
Wednesday,3006,Weekly
August,2159,Monthly
July,2082,Monthly
June,2016,Monthly
September,2012,Monthly
October,1941,Monthly
May,1867,Monthly
November,1731,Monthly
December,1651,Monthly
April,1646,Monthly
January,1640,Monthly
March,1581,Monthly
February,1438,Monthly
